Название вакансии,Компания,Зарплата,Ссылка
Инженер-программист,ООО ИДТ,"от 70 000 ₽ за месяц, на руки",https://samara.hh.ru/vacancy/119310958?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Программист 1С (Junior, Middle)",ООО Бизнес Навигатор,"от 80 000 ₽ за месяц, на руки",https://samara.hh.ru/vacancy/119945174?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Интеллит,"250 000 – 300 000 ₽ за месяц, на руки",https://samara.hh.ru/vacancy/119150089?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1 С,ЗАО Чистая вода,"150 000 – 250 000 ₽ за месяц, до вычета налогов",https://samara.hh.ru/vacancy/118298081?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (удаленно),Аптеки Плюс,"до 230 000 ₽ за месяц, до вычета налогов",https://samara.hh.ru/vacancy/119216865?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Куйбышевский региональный общий центр обслуживания - СП (Желдоручет) филиала ОАО РЖД,Зарплата не указана,https://samara.hh.ru/vacancy/119251815?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,МАЯКМЕТАЛЛ,Зарплата не указана,https://samara.hh.ru/vacancy/118948337?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист,РЖД-Медицина,"50 000 ₽ за месяц, на руки",https://samara.hh.ru/vacancy/119956573?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик ПО программист,СамараНИПИнефть,"до 76 840 ₽ за месяц, на руки",https://samara.hh.ru/vacancy/118931645?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ЗАО Нефтефлот,Зарплата не указана,https://samara.hh.ru/vacancy/119149145?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
